!,100v.5.8
!89,115v.23.5
!9,37r.10.5
!?s,1r.6.7
!A,37v.9.3
!Co,100v.3.5
!Cs,47v.5.2
!H,25v.7.5
!Kae,8v.2.1
!c89,41r.6.9
!c9,68v1.outer_ring.3
!cH9,46r.2.12
!cae,89v2.labels_top.5
!cam,21v.7.6
!cckC(,85r1.24.8
!ch9,29v.7.8
!coe 2c9,3r.11.4
!cohan,111v.1.6
!coy,rose.west_ring.6
!cs,72r3.5th_ring.19
!o,17v.20.5
!o,90r1.5.4
!o 9k,101v2-v1.4.22
!o8am,85r1.23.2
!oF9,86v3.center_1.3
!oe,1r.6.4
!oe,15v.8.6
!oe,22v.14.3
!oe,86v3.center_4.5
!oeom,52v.7.2
!oh1C9,1r.19.3
!ohaZ,66r.10.7
!oy,4r.8.1
!oy,18v.1.2
!oy h19,49r.1.8
!oy89,11v.1.3
!oy9,1r.1.6
#9,13r.5.2
#9,22v.1.7
#C h1c9,87r.3.6
#C9,82r.31.7
#Ch9,111r.2.2
#am,36r.1.6
#cW19,41r.3.7
#cam,30v.1.7
#ch 8an,81v.1.9
#coe,79r.31.3
#o,15v.7.3
#o,30r.6.2
#o,30v.1.4
#o89,22v.9.2
#o8ay9,1r.6.9
#oe,4r.8.3
#oe,8r.17.5
#oe,22r.7.2
#oe,47r.6.5
#op,24r.19.4
#oy,8r.8.7
#oy,29v.1.2
18ay,rose.east_ring.23
18ay,rose.neast_ring.11
18ay,103r.4.6
18ay,104r.19.2
18ay,104v.20.11
18ay,108r.6.11
18ay,108r.24.9
18ay,108r.35.4
18ay,114r.34.4
18ay,114r.45.5
18ay,115v.2.8
18az,86v4.outer_ring.18
18az,114r.16.7
18azo8,114r.9.6
18c79,105r.26.11
18c89,114r.7.5
18o,113r.5.9
18o8 am,114r.10.2
18oe,114r.5.8
18oe9,22r.7.5
18os,105v.15.7
18oy,48v.10.6
18oy,104v.16.3
18oy,104v.27.7
18oy,105v.4.4
18oy,107v.5.4
18oy,114v.20.8
18oy,115r.22.7
19,1r.19.8
19,1v.6.8
19,2r.3.5
19,2r.11.3
19,2r.12.2
19,2v.6.6
19,3v.4.3
19,4r.3.3
19,4r.4.2
19,4v.2.3
19,5r.3.3
19,6r.4.7
19,6r.10.3
19,6v.15.4
19,6v.19.3
19,8r.4.8
19,8r.13.6
19,9v.9.2
19,9v.10.4
19,10r.6.7
19,10r.9.4
19,11r.4.2
19,13v.3.3
19,13v.7.3
19,13v.10.2
19,14r.13.2
19,14v.2.4
19,14v.4.2
19,15r.12.4
19,15v.7.5
19,15v.7.7
19,16r.11.6
19,17r.3.3
19,18v.6.5
19,19r.3.2
19,20r.6.6
19,20v.3.6
19,20v.8.5
19,20v.10.5
19,21r.3.4
19,22r.11.10
19,23r.1.2
19,23v.2.2
19,23v.10.2
19,25r.2.8
19,26v.7.4
19,27r.3.5
19,27r.3.7
19,27r.4.4
19,27r.6.1
19,27r.10.4
19,27v.4.2
19,28r.5.3
19,28v.3.3
19,28v.7.8
19,28v.8.7
19,29r.1.5
19,29r.2.9
19,29v.8.6
19,29v.9.4
19,30v.2.2
19,30v.2.8
19,31r.4.2
19,32v.2.3
19,32v.4.8
19,32v.11.3
19,33v.8.8
19,34v.7.4
19,35r.12.2
19,35r.12.4
19,36r.4.6
19,36r.5.8
19,37r.9.4
19,37r.10.4
19,38r.4.4
19,38v.7.3
19,42r.5.4
19,42r.7.2
19,42r.11.8
19,42v.10.3
19,42v.14.2
19,43v.15.4
19,45v.3.7
19,46r.8.2
19,47r.3.3
19,47r.8.3
19,47v.11.4
19,47v.11.9
19,47v.12.1
19,47v.12.4
19,47v.12.5
19,49r.8.3
19,49v.20.3
19,51v.2.5
19,52v.2.8
19,54v.5.5
19,56r.1.5
19,56r.1.8
19,56r.2.5
19,58r.8.4
19,58r.21.7
19,67r1.2nd_ring.12
19,67r2.red_outer_ring.23
19,67v1.center_17.2
19,68v2.outer_ring.31
19,69r.2.7
19,69r.3.5
19,69v.2nd_ring.21
19,70r1.2nd_ring.27
19,71r.outer_ring.18
19,72r2.outer_ring.31
19,72r3.3rd_ring.35
19,75r.7.6
19,75r.16.6
19,76r.23.12
19,77r.14.6
19,77v.6.12
19,77v.21.4
19,78v.4.2
19,79r.5.13
19,81v.16.6
19,81v.19.10
19,85r1.3.5
19,85r2.quad_4_2.5
19,86v4.2nd_ring.8
19,86v6.43.6
19,86v3.south_3.2
19,rose.east_center_2.4
19,88r.8.4
19,89r2.2.5
19,89v2.12.6
19,90v2.3.8
19,94r.8.7
19,95r1.4.9
19,95v1.7.4
19,99v.labels_top.3
19,101r1-r2.2.17
19,101r1-r2.5.14
19,102v2.2.3
19,104v.18.7
19,106r.27.6
19,106r.44.4
19,106v.42.10
19,111v.2.11
19,111v.19.10
19,113r.10.4
19,114v.21.3
19,115r.21.6
19,116r.27.8
19,116r.45.5
19 89,16v.10.2
19 h19,16v.3.5
19 h19,18r.2.3
19 h9,21r.10.3
19 hC89,112v.17.4
19 ham,107r.43.6
19 hc9,4v.14.2
19 hc9,56r.2.6
19 hoe,15r.15.3
19 k 1oe,27r.8.2
19 k19,9r.7.3
19 kos,69r.outside_ring.30
191Co,68v3.spiral_1.1
194oe89,28r.1.7
198,29v.10.5
1989,28v.2.3
1989,68v3.4.3
19W1y,67r2.red_outer_ring.22
19f 1ay,47r.8.8
19g19,16v.7.2
19h19,8v.2.6
19h19,68r2.5.5
19h9,2r.12.10
19h9,9r.7.7
19h9,10v.7.2
19h9,11v.4.3
19h9,47v.11.6
19h9,69r.radial_19.4
19hae79,58r.37.4
19hae8,18r.9.4
19hay,29v.10.6
19hay,69v.outer_ring.6
19hcoy,113r.8.10
19j,66r.1.4
19j1ap,17r.9.5
19j1c9,26r.1.5
19k9,9v.9.4
19k9,16v.5.2
19k9,34r.3.2
19k9,35v.3.3
19kayom,36r.5.10
19kcc9,79r.28.6
19kco89,104r.17.8
1A 2aN,36v.7.5
1A yKam,20v.6.7
1A89,112r.42.7
1Ae,56r.2.2
1Ae,69v.2nd_ring.2
1Ae,70r2.2nd_ring.23
1Ae,82v.22.4
1Ae occ89,114r.29.1
1Ah9,17r.2.2
1Aham,86v6.44.4
1Ahan,113r.31.11
1Ahaz,113v.23.6
1Akae,93r.22.3
1Akam,8r.5.10
1Am,20r.1.7
1Asay,72r2.4th_ring.7
1Ay,72r1.2nd_ring.8
1Ay,101v2-v1.2.7
1Ayoy,37v.11.2
1C*,72r3.3rd_ring.26
1C79,72r1.3rd_ring.18
1C79,72v1.outer_ring.36
1C79,79r.42.8
1C79,82r.30.8
1C79,104v.41.6
1C79,111v.42.6
1C79,112v.17.3
1C79,116r.26.7
1C8,104v.29.12
1C8,104v.42.9
1C8,114r.2.8
1C8 am,112v.24.8
1C8(,75v.7.2
1C8(,76v.6.9
1C89,33r.4.9
1C89,66r.29.6
1C89,75v.22.8
1C89,76r.20.9
1C89,76v.9.7
1C89,76v.20.8
1C89,77r.10.2
1C89,77r.10.8
1C89,77r.29.5
1C89,77r.35.3
1C89,77r.36.4
1C89,79r.32.2
1C89,83v.22.2
1C89,83v.26.3
1C89,88v.8.7
1C89,89r2.2.10
1C89,104v.6.10
1C89,104v.7.10
1C89,104v.10.2
1C89,104v.32.8
1C89,104v.42.4
1C89,105r.13.9
1C89,108r.38.2
1C89,108v.33.10
1C89,111r.8.5
1C89,112v.17.6
1C89,112v.25.4
1C89,114r.17.2
1C89,115r.14.8
1C89,115r.22.10
1C8aes,67v1.center_6.3
1C8an,114r.31.3
1C8an,114v.5.4
1C8ay,104r.29.4
1C9,8r.9.2
1C9,20r.6.4
1C9,35r.4.4
1C9,35r.5.5
1C9,49v.26.4
1C9,50v.2.9
1C9,52r.8.2
1C9,52r.8.7
1C9,54r.7.7
1C9,58r.9.2
1C9,70r2.2.2
1C9,71v.3rd_ring.24
1C9,72r3.outer_ring.36
1C9,72v3.outer_ring.34
1C9,73r.3rd_ring.21
1C9,75r.12.7
1C9,77r.14.8
1C9,77r.29.6
1C9,77r.31.2
1C9,77r.36.6
1C9,77v.35.4
1C9,78v.15.1
1C9,79r.14.6
1C9,79r.19.2
1C9,79r.27.4
1C9,79r.36.4
1C9,79v.35.2
1C9,80r.37.5
1C9,80r.38.4
1C9,80v.11.6
1C9,80v.25.4
1C9,81r.10.4
1C9,82r.7.9
1C9,82r.8.5
1C9,82r.15.4
1C9,82r.22.1
1C9,82v.12.3
1C9,84v.9.4
1C9,86v5.14.8
1C9,86v3.south_2.5
1C9,88r.12.6
1C9,88v.4.10
1C9,89r2.9.14
1C9,89r2.10.13
1C9,89r2.12.4
1C9,89v1.3.3
1C9,94v.10.3
1C9,99r.4.4
1C9,99v.14.2
1C9,100v.2.2
1C9,100v.2.8
1C9,101v2-v1.2.17
1C9,101v2-v1.6.14
1C9,101v2-v1.8.12
1C9,102v2.14.2
1C9,103r.28.10
1C9,103r.50.5
1C9,103v.23.4
1C9,104r.11.6
1C9,104r.44.2
1C9,104v.17.2
1C9,104v.26.2
1C9,104v.33.6
1C9,104v.39.10
1C9,105r.2.9
1C9,105v.16.2
1C9,105v.30.2
1C9,106r.39.8
1C9,106v.41.3
1C9,107r.47.2
1C9,107r.51.5
1C9,107v.41.6
1C9,108r.46.9
1C9,108v.10.2
1C9,108v.18.10
1C9,108v.25.10
1C9,108v.49.3
1C9,111v.21.7
1C9,111v.48.2
1C9,111v.49.2
1C9,111v.49.6
1C9,112r.3.3
1C9,112r.41.3
1C9,112v.25.7
1C9,113r.40.2
1C9,113v.46.3
1C9,114r.38.3
1C9,114v.7.4
1C9,115r.14.6
1C9,115r.17.2
1C9,115r.20.10
1C9,115r.24.6
1C9,115r.25.3
1C9,115r.30.9
1C9,115r.33.7
1C9,115r.36.2
1C9,115v.27.3
1C9,116r.20.4
1C9,116r.29.2
1C9,116r.37.4
1C9,116r.49.8
1C9 kam,113r.41.4
1C9hap,3v.3.6
1C9kae,80r.32.2
1CA,90v2.2.4
1CA,107r.11.2
1CAe,83v.15.2
1CHc9,101r1-r2.6.12
1CHo89,56r.8.4
1CK9,29r.1.8
1CKC9,68v2.outer_ring.15
1Ca,101r1-r2.1.20
1Cae,51r.12.4
1Cae,111v.44.3
1Cam,86v6.11.5
1Cay,107r.39.5
1Cc9,8r.5.4
1Cc9,103v.19.4
1Ce9,112v.24.9
1Cgam,39r.1.7
1Ch1c9,68v1.2nd_ring.24
1Ch5cc9,31v.8.2
1Ch9,44r.5.5
1Ch9,46v.7.2
1Ch9,58v.37.8
1Ch9,75r.30.3
1Ch9,83v.25.5
1Ch9,104v.11.4
1Ch9,106r.4.8
1Ch9,113v.22.3
1Chan,112v.9.6
1Chc9,58v.12.2
1Chc9,68v3.spiral_8.4
1Chc9,112v.33.9
1Ck ay,104v.13.9
1Cka,104v.12.4
1Ckam,104v.13.11
1Ckcc9,85r1.20.6
1Co,104r.6.4
1Co,104v.10.10
1Co,104v.44.3
1Co,105r.3.5
1Co,111r.46.2
1Co,111v.42.1
1Co,113r.19.2
1Co,114r.27.1
1Co,114v.21.2
1Co,115r.14.3
1Co,115r.34.1
1Co,115v.21.4
1Co 79,104v.8.2
1Co 8,104v.33.2
1Co e,104r.28.9
1Co e79,112v.5.9
1Co s 1c9,70r2.4th_ring.22
1Co89,113r.46.5
1Co8ap,24v.14.2
1Coe,26v.3.4
1Coe,77r.21.2
1Coe,87v.11.3
1Coe,88v.9.4
1Coe,112v.26.4
1Cohcc9,99r.11.2
1Cohcco,71r.outer_ring.33
1Com,83v.13.7
1Cooe,104v.8.3
1Cos,104v.32.5
1Cos,114v.23.6
1Coy,89v1.6.3
1Coy,96r.1.2
1Coy,100v.5.5
1Coy,102v2.10.9
1Coy,112v.33.2
1Coy,115r.24.13
1Cs,23v.9.9
1Cs,39r.4.9
1Cs,41r.4.7
1Cs,42r.8.2
1Cs,43v.4.3
1Cs,53r.6.8
1Cs,72r2.3rd_ring.22
1Cs,72v3.3rd_ring.30
1Cs,76v.30.4
1Cs,77v.18.2
1Cs,81r.3.3
1Cs,85r1.32.6
1Cs,88v.7.6
1Cs,88v.14.5
1Cs,105v.23.4
1Cs,106r.2.3
1Cs,106r.25.10
1Cs,107r.45.8
1Cs,114r.37.10
1Cs9,73r.3rd_ring.23
1CsCs,25r.3.3
1Cy,116r.2.2
1D,8v.15.3
1D,23v.11.6
1D,83r.10.3
1D,88r.5.4
1Eh9,8v.15.4
1F89,76r.1.2
1F9,112v.11.7
1Fae,36r.1.3
1Fc9,111v.29.8
1Foy,113r.16.6
1G9,20v.5.8
1G9,68r3.pieslice_3.2
1G9,112r.1.9
1G9,115r.35.11
1Gc9,81r.9.4
1H,38r.4.3
1H,76r.13.2
1H 1ok9,1r.24.3
1H(,106r.32.4
1H19,89r1.7.8
1H7,40r.3.4
1H7,78r.7.4
1H79,34v.2.5
1H79,46v.4.5
1H79,55v.4.2
1H79,78r.12.5
1H79,84r.2.4
1H79,85r1.2.11
1H8,66v.7.7
1H8,114r.17.10
1H89,39r.7.6
1H89,78r.20.4
1H89,82v.9.7
1H89,83r.21.8
1H89,85r1.8.2
1H89,104v.23.7
1H89,105v.14.2
1H9,6r.2.2
1H9,6v.2.3
1H9,7r.10.5
1H9,11v.2.3
1H9,13r.6.7
1H9,14r.7.3
1H9,14v.6.7
1H9,16v.10.4
1H9,18r.1.6
1H9,19r.4.3
1H9,26r.9.4
1H9,32v.3.3
1H9,33v.3.2
1H9,33v.5.4
1H9,33v.9.9
1H9,34r.4.6
1H9,34r.12.6
1H9,34v.3.11
1H9,39r.8.9
1H9,39r.12.2
1H9,39v.11.7
1H9,40v.5.4
1H9,40v.18.3
1H9,41r.8.3
1H9,43r.13.9
1H9,43v.11.9
1H9,46r.2.5
1H9,46r.4.4
1H9,46r.4.7
1H9,46r.8.3
1H9,46v.4.2
1H9,48v.11.2
1H9,50r.5.2
1H9,50v.5.3
